X,Y,OBJECTID,STNCODE,STNNAME,CITY2,STATE,STFIPS,station,station_name,Total Riders
-121.279,37.957038,183,SKT,"Stockton (ACE, 701-704), California",Stockton  - ACE Station,CA,6,"Stockton (ACE, 701-704), California",Stockton / ACE Station,"24,605"
-88.54711,39.117059,220,EFG,"Effingham, Illinois",Effingham,IL,17,"Effingham, Illinois",Effingham,"24,131"
-89.363699,40.147855,244,LCN,"Lincoln, Illinois",Lincoln,IL,17,"Lincoln, Illinois","Lincoln, IL","23,443"
-90.190936,32.300808,153,JAN,"Jackson, Mississippi",Jackson,MS,28,"Jackson, Mississippi","Jackson, MI","23,347"
-77.472577,38.750084,237,MSS,"Manassas, Virginia",Manassas,VA,51,"Manassas, Virginia",Manassas,"23,048"
-119.087729,46.237012,230,PSC,"Pasco, Washington",Pasco,WA,53,"Pasco, Washington",Pasco,"22,711"
-80.167884,26.011641,222,HOL,"Hollywood, Florida",Hollywood,FL,12,"Hollywood, Florida",Hollywood,"22,348"
-89.11792,41.549584,228,MDT,"Mendota, Illinois",Mendota,IL,17,"Mendota, Illinois",Mendota,"22,066"
-80.122147,26.317069,225,DFB,"Deerfield Beach, Florida",Deerfield Beach,FL,12,"Deerfield Beach, Florida",Deerfield Beach,"21,895"
-79.434531,36.094225,227,BNC,"Burlington, North Carolina",Burlington,NC,37,"Burlington, North Carolina",Burlington NC,"21,888"
-85.971848,41.680748,242,EKH,"Elkhart, Indiana",Elkhart,IN,18,"Elkhart, Indiana",Elkhart,"21,787"
-85.024298,41.431816,246,WTI,"Waterloo, Indiana",Waterloo,IN,18,"Waterloo, Indiana",Waterloo,"21,682"
-86.287345,41.67836,241,SOB,"South Bend, Indiana",South Bend,IN,18,"South Bend, Indiana",South Bend,"21,207"
-80.466323,35.667496,236,SAL,"Salisbury, North Carolina",Salisbury,NC,37,"Salisbury, North Carolina",Salisbury,"20,693"
-81.352477,29.017849,232,DLD,"Deland, Florida",DeLand,FL,12,"Deland, Florida",Deland,"20,677"
-81.734878,28.002146,235,WTH,"Winter Haven, Florida",Winter Haven,FL,12,"Winter Haven, Florida",Winter Haven,"20,515"
-73.110277,44.492466,251,ESX,"Essex Junction, Vermont",Essex Junction-Burlington,VT,50,"Essex Junction, Vermont",Essex Junction,"20,390"
-95.367526,29.767245,249,HOS,"Houston, Texas",Houston,TX,48,"Houston, Texas",Houston,"19,952"
-120.629266,35.12126,250,GVB,"Grover Beach, California",Grover Beach,CA,6,"Grover Beach, California",Grover Beach,"19,758"
-82.443805,42.960419,247,PTH,"Port Huron, Michigan",Port Huron,MI,26,"Port Huron, Michigan",Port Huron,"19,593"
-78.921996,40.329689,233,JST,"Johnstown, Pennsylvania",Johnstown,PA,42,"Johnstown, Pennsylvania",Johnstown,"19,407"
-78.40162,40.514475,234,ALT,"Altoona, Pennsylvania",Altoona,PA,42,"Altoona, Pennsylvania",Altoona,"19,378"
-92.286785,34.750298,258,LRK,"Little Rock, Arkansas",Little Rock,AR,5,"Little Rock, Arkansas",Little Rock,"19,218"
-87.86543,41.119259,248,KKI,"Kankakee, Illinois",Kankakee,IL,17,"Kankakee, Illinois",Kankakee,"19,109"
-121.656745,36.679145,240,SNS,"Salinas, California",Salinas,CA,6,"Salinas, California",Salinas,"19,099"
-81.951874,28.045603,287,LKL,"Lakeland, Florida",Lakeland,FL,12,"Lakeland, Florida",Lakeland,"18,952"
-77.293027,38.521882,254,QAN,"Quantico, Virginia",Quantico,VA,51,"Quantico, Virginia",Quantico,"18,948"
-80.624928,35.496172,255,KAN,"Kannapolis, North Carolina",Kannapolis,NC,37,"Kannapolis, North Carolina",Kannapolis,"18,858"
-87.809742,41.794912,328,SMT,"Summit, Illinois",Summit,IL,17,"Summit, Illinois",Summit,"18,813"
-96.785372,46.880982,238,FAR,"Fargo, North Dakota",Fargo,ND,38,"Fargo, North Dakota",Fargo,"18,695"
-118.878059,34.28476,260,MPK,"Moorpark, California",Moorpark,CA,6,"Moorpark, California",Moorpark,"18,299"
-72.626101,41.913956,263,WNL,"Windsor Locks, Connecticut",Windsor Locks,CT,9,"Windsor Locks, Connecticut",Windsor Locks,"18,145"
-120.306552,47.421556,281,WEN,"Wenatchee, Washington",Wenatchee,WA,53,"Wenatchee, Washington",Wenatchee,"18,126"
-88.636601,40.879652,279,PON,"Pontiac, Illinois",Pontiac,IL,17,"Pontiac, Illinois","Pontiac, IL","17,604"
-86.252372,41.837412,264,NLS,"Niles, Michigan",Niles,MI,26,"Niles, Michigan",Niles,"17,405"
-75.820929,39.985688,277,COT,"Coatesville, Pennsylvania",Coatesville,PA,42,"Coatesville, Pennsylvania",Coatesville,"17,278"
-89.927544,41.245765,262,KEE,"Kewanee, Illinois",Kewanee,IL,17,"Kewanee, Illinois",Kewanee,"17,236"
-71.143823,42.517358,239,WOB,"Woburn, Massachusetts",Woburn,MA,25,"Woburn, Massachusetts",Woburn,"17,187"
-121.237299,38.791006,267,RLN,"Rocklin, California",Rocklin,CA,6,"Rocklin, California",Rocklin,"16,956"
-122.334738,48.41847,256,MVW,"Mount Vernon, Washington",Mount Vernon,WA,53,"Mount Vernon, Washington",Mount Vernon,"16,815"
-72.556497,42.850849,270,BRA,"Brattleboro, Vermont",Brattleboro,VT,50,"Brattleboro, Vermont",Brattleboro,"16,649"
-72.800678,41.539385,259,MDN,"Meriden, Connecticut",Meriden,CT,9,"Meriden, Connecticut",Meriden,"16,167"
-93.764894,41.037116,271,OSC,"Osceola, Iowa",Osceola,IA,19,"Osceola, Iowa",Osceola,"16,064"
